,edad,trabajo,educacion,deuda,saldo,vivienda,prestamo,duracion,fecha_contacto,campaign,tiempo_transcurrido,contactos_anteriores,target,desconocido,fijo,movil,desconocido,fijo,movil,exito,nuevo_cliente,otro,sin_exito
0,40,1,0.0,0,580,1,0,192,1621116000,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
1,47,7,0.0,0,3644,0,0,83,1623189600,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
2,25,8,1.0,0,538,1,0,226,1618869600,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
3,42,4,1.0,0,1773,0,0,311,1617919200,1,336,1,0,0,0,1,0,0,1,0,0,0,1
4,56,4,1.0,0,217,0,1,121,1626818400,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
5,28,1,0.0,0,1134,0,0,130,1612825200,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
6,24,4,1.0,0,1085,0,1,95,1620338400,6,-1,0,0,0,0,1,0,0,1,0,1,0,0
7,37,0,0.0,0,127,0,0,83,1616454000,4,-1,0,0,0,0,1,0,0,1,0,1,0,0
8,30,1,0.0,0,3,1,0,51,1627164000,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
9,38,9,0.0,0,258,0,1,587,1624140000,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
10,33,1,0.0,0,498,0,0,301,1619733600,1,-1,0,1,0,0,1,0,0,1,0,1,0,0
11,48,1,0.0,0,65,1,0,146,1620943200,1,370,1,0,0,0,1,0,0,1,0,0,0,1
12,30,1,0.0,0,18,0,0,395,1620511200,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
13,31,4,1.0,0,883,1,0,112,1614898800,2,106,1,1,0,0,1,0,0,1,0,0,0,1
14,30,4,1.0,0,640,0,0,124,1612566000,4,213,2,0,0,0,1,0,0,1,0,0,0,1
15,30,4,1.0,0,536,0,0,244,1634248800,1,105,1,1,0,0,1,0,0,1,1,0,0,0
16,35,1,0.0,0,247,1,1,114,1620856800,1,352,5,0,0,0,1,0,0,1,0,0,0,1
17,31,4,1.0,0,518,1,0,399,1621288800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
18,46,1,0.0,0,0,1,0,172,1621720800,3,-1,0,0,1,0,0,1,0,0,0,1,0,0
19,33,4,1.0,0,5437,0,0,267,1620079200,1,91,1,1,0,0,1,0,0,1,0,0,0,1
20,49,6,0.0,0,-478,1,1,291,1637362800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
21,35,4,1.0,0,991,1,0,1489,1620252000,3,-1,0,1,0,0,1,0,0,1,0,1,0,0
22,43,1,0.0,0,-755,1,1,162,1620165600,1,337,1,0,0,0,1,0,0,1,0,0,0,1
23,44,1,0.0,0,-239,1,0,111,1622066400,3,-1,0,0,1,0,0,1,0,0,0,1,0,0
24,33,2,1.0,0,3017,0,0,240,1637449200,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
25,33,7,0.0,0,184,1,0,109,1620856800,4,-1,0,0,1,0,0,1,0,0,0,1,0,0
26,23,8,0.0,0,431,0,0,496,1628805600,2,-1,0,1,0,0,1,0,0,1,0,1,0,0
27,47,1,2.0,0,699,0,0,203,1628114400,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
28,60,9,0.0,0,914,0,0,64,1628028000,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
29,51,1,1.0,0,7816,1,0,76,1620770400,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
30,56,5,0.0,0,728,0,0,163,1637190000,2,110,15,0,0,0,1,0,0,1,0,0,0,1
31,59,4,,0,3428,1,1,103,1637276400,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
32,49,4,1.0,0,223,0,0,22,1630101600,22,-1,0,0,0,0,1,0,0,1,0,1,0,0
33,49,0,0.0,0,2254,0,0,77,1628114400,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
34,56,9,0.0,0,589,1,0,208,1637190000,1,26,3,0,0,0,1,0,0,1,1,0,0,0
35,38,9,0.0,0,79,1,0,209,1629410400,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
36,46,1,0.0,0,78,1,1,145,1620338400,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
37,58,9,0.0,0,409,0,1,643,1626213600,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
38,36,2,0.0,0,352,1,0,139,1621548000,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
39,29,1,0.0,0,-312,1,1,130,1620943200,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
40,39,1,0.0,0,1044,1,0,158,1612220400,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
41,36,4,1.0,0,227,0,1,336,1628287200,4,-1,0,0,0,0,1,0,0,1,0,1,0,0
